Genre,URL,Titre
Fiction,https://www.gutenberg.org/ebooks/84,"Frankenstein; Or, The Modern Prometheus"
Fiction,https://www.gutenberg.org/ebooks/2701,"Moby Dick; Or, The Whale"
Fiction,https://www.gutenberg.org/ebooks/1342,Pride and Prejudice
Fiction,https://www.gutenberg.org/ebooks/1513,Romeo and Juliet
Fiction,https://www.gutenberg.org/ebooks/11,Alice's Adventures in Wonderland
Fiction,https://www.gutenberg.org/ebooks/2542,A Doll's House : a play
Fiction,https://www.gutenberg.org/ebooks/64317,The Great Gatsby
Fiction,https://www.gutenberg.org/ebooks/844,The Importance of Being Earnest: A Trivial Comedy for Serious People
Fiction,https://www.gutenberg.org/ebooks/100,The Complete Works of William Shakespeare
Fiction,https://www.gutenberg.org/ebooks/145,Middlemarch
Fiction,https://www.gutenberg.org/ebooks/43,The Strange Case of Dr. Jekyll and Mr. Hyde
Fiction,https://www.gutenberg.org/ebooks/2641,A Room with a View
Fiction,https://www.gutenberg.org/ebooks/37106,"Little Women; Or, Meg, Jo, Beth, and Amy"
Fiction,https://www.gutenberg.org/ebooks/174,The Picture of Dorian Gray
Fiction,https://www.gutenberg.org/ebooks/67979,The Blue Castle: a novel
Fiction,https://www.gutenberg.org/ebooks/16389,The Enchanted April
Fiction,https://www.gutenberg.org/ebooks/2554,Crime and Punishment
Fiction,https://www.gutenberg.org/ebooks/345,Dracula
Fiction,https://www.gutenberg.org/ebooks/394,Cranford
Fiction,https://www.gutenberg.org/ebooks/2160,The Expedition of Humphry Clinker
Fiction,https://www.gutenberg.org/ebooks/6761,The Adventures of Ferdinand Count Fathom — Complete
Fiction,https://www.gutenberg.org/ebooks/1259,Twenty years after
Fiction,https://www.gutenberg.org/ebooks/6593,"History of Tom Jones, a Foundling"
Fiction,https://www.gutenberg.org/ebooks/4085,The Adventures of Roderick Random
Fiction,https://www.gutenberg.org/ebooks/98,A Tale of Two Cities
Fiction,https://www.gutenberg.org/ebooks/1023,Bleak House
Fiction,https://www.gutenberg.org/ebooks/5200,Metamorphosis
Fiction,https://www.gutenberg.org/ebooks/1260,Jane Eyre: An Autobiography
Fiction,https://www.gutenberg.org/ebooks/1400,Great Expectations
Fiction,https://www.gutenberg.org/ebooks/76,Adventures of Huckleberry Finn
Fiction,https://www.gutenberg.org/ebooks/1952,The Yellow Wallpaper
Fiction,https://www.gutenberg.org/ebooks/25344,The Scarlet Letter
Fiction,https://www.gutenberg.org/ebooks/1661,The Adventures of Sherlock Holmes
Fiction,https://www.gutenberg.org/ebooks/28054,The Brothers Karamazov
Fiction,https://www.gutenberg.org/ebooks/41445,"Frankenstein; Or, The Modern Prometheus"
Fiction,https://www.gutenberg.org/ebooks/4300,Ulysses
Fiction,https://www.gutenberg.org/ebooks/45,Anne of Green Gables
Fiction,https://www.gutenberg.org/ebooks/2000,Don Quijote (Spanish)
Fiction,https://www.gutenberg.org/ebooks/1184,The Count of Monte Cristo
Fiction,https://www.gutenberg.org/ebooks/219,Heart of Darkness
Fiction,https://www.gutenberg.org/ebooks/2600,War and Peace
Fiction,https://www.gutenberg.org/ebooks/768,Wuthering Heights
Fiction,https://www.gutenberg.org/ebooks/46,A Christmas Carol in Prose; Being a Ghost Story of Christmas
Fiction,https://www.gutenberg.org/ebooks/74,"The Adventures of Tom Sawyer, Complete"
Fiction,https://www.gutenberg.org/ebooks/36034,White Nights and Other Stories
Fiction,https://www.gutenberg.org/ebooks/8492,The King in Yellow
Fiction,https://www.gutenberg.org/ebooks/2650,Du côté de chez Swann (French)
Fiction,https://www.gutenberg.org/ebooks/135,Les Misérables
Fiction,https://www.gutenberg.org/ebooks/2814,Dubliners
Fiction,https://www.gutenberg.org/ebooks/30254,The Romance of Lust: A classic Victorian erotic novel
Fiction,https://www.gutenberg.org/ebooks/730,Oliver Twist
Fiction,https://www.gutenberg.org/ebooks/514,Little Women
Fiction,https://www.gutenberg.org/ebooks/244,A Study in Scarlet
Fiction,https://www.gutenberg.org/ebooks/120,Treasure Island
Fiction,https://www.gutenberg.org/ebooks/55,The Wonderful Wizard of Oz
Fiction,https://www.gutenberg.org/ebooks/2852,The Hound of the Baskervilles
Fiction,https://www.gutenberg.org/ebooks/10623,Plays
Fiction,https://www.gutenberg.org/ebooks/2148,The Works of Edgar Allan Poe — Volume 2
Fiction,https://www.gutenberg.org/ebooks/1399,Anna Karenina
Fiction,https://www.gutenberg.org/ebooks/829,Gulliver's Travels into Several Remote Nations of the World
Fiction,https://www.gutenberg.org/ebooks/10676,The Reign of Greed
Fiction,https://www.gutenberg.org/ebooks/158,Emma
Fiction,https://www.gutenberg.org/ebooks/31284,Josefine Mutzenbacher (German)
Fiction,https://www.gutenberg.org/ebooks/779,The Tragical History of Doctor Faustus
Fiction,https://www.gutenberg.org/ebooks/996,Don Quixote
Fiction,https://www.gutenberg.org/ebooks/786,Hard Times
Fiction,https://www.gutenberg.org/ebooks/1251,Le Morte d'Arthur: Volume 1
Fiction,https://www.gutenberg.org/ebooks/10007,Carmilla
Fiction,https://www.gutenberg.org/ebooks/41,The Legend of Sleepy Hollow
Fiction,https://www.gutenberg.org/ebooks/110,Tess of the d'Urbervilles: A Pure Woman
Fiction,https://www.gutenberg.org/ebooks/16,Peter Pan
Fiction,https://www.gutenberg.org/ebooks/27673,Oedipus King of Thebes
Fiction,https://www.gutenberg.org/ebooks/161,Sense and Sensibility
Fiction,https://www.gutenberg.org/ebooks/36,The War of the Worlds
Fiction,https://www.gutenberg.org/ebooks/19942,Candide
Fiction,https://www.gutenberg.org/ebooks/4217,A Portrait of the Artist as a Young Man
Fiction,https://www.gutenberg.org/ebooks/67098,Winnie-the-Pooh
Fiction,https://www.gutenberg.org/ebooks/600,Notes from the Underground
Fiction,https://www.gutenberg.org/ebooks/105,Persuasion
Fiction,https://www.gutenberg.org/ebooks/27761,"Hamlet, Prince of Denmark"
Fiction,https://www.gutenberg.org/ebooks/20228,Noli Me Tangere (Tagalog)
Fiction,https://www.gutenberg.org/ebooks/3825,Pygmalion
Fiction,https://www.gutenberg.org/ebooks/12,Through the Looking-Glass
Fiction,https://www.gutenberg.org/ebooks/521,The Life and Adventures of Robinson Crusoe
Fiction,https://www.gutenberg.org/ebooks/23700,The Decameron of Giovanni Boccaccio
Fiction,https://www.gutenberg.org/ebooks/14591,Faust [part 1]. Translated Into English in the Original Metres
Fiction,https://www.gutenberg.org/ebooks/35,The Time Machine
Fiction,https://www.gutenberg.org/ebooks/3090,Complete Original Short Stories of Guy De Maupassant
Fiction,https://www.gutenberg.org/ebooks/2413,Madame Bovary
Fiction,https://www.gutenberg.org/ebooks/60976,Rip Van Winkle
Fiction,https://www.gutenberg.org/ebooks/203,Uncle Tom's Cabin
Fiction,https://www.gutenberg.org/ebooks/17489,Les misérables Tome I: Fantine (French)
Fiction,https://www.gutenberg.org/ebooks/2097,The Sign of the Four
Fiction,https://www.gutenberg.org/ebooks/766,David Copperfield
Fiction,https://www.gutenberg.org/ebooks/164,Twenty Thousand Leagues under the Sea
Fiction,https://www.gutenberg.org/ebooks/215,The call of the wild
Fiction,https://www.gutenberg.org/ebooks/1514,A Midsummer Night's Dream
Fiction,https://www.gutenberg.org/ebooks/69087,The murder of Roger Ackroyd
Fiction,https://www.gutenberg.org/ebooks/23042,The Tempest
Fiction,https://www.gutenberg.org/ebooks/42324,"Frankenstein; Or, The Modern Prometheus"
Fiction,https://www.gutenberg.org/ebooks/236,The Jungle Book
Fiction,https://www.gutenberg.org/ebooks/160,"The Awakening, and Selected Short Stories"
Fiction,https://www.gutenberg.org/ebooks/121,Northanger Abbey
Fiction,https://www.gutenberg.org/ebooks/308,Three Men in a Boat (To Say Nothing of the Dog)
Fiction,https://www.gutenberg.org/ebooks/7700,Lysistrata
Fiction,https://www.gutenberg.org/ebooks/113,The Secret Garden
Fiction,https://www.gutenberg.org/ebooks/25305,Memoirs of Fanny Hill
Fiction,https://www.gutenberg.org/ebooks/209,The Turn of the Screw
Fiction,https://www.gutenberg.org/ebooks/103,Around the World in Eighty Days
Fiction,https://www.gutenberg.org/ebooks/1531,"Othello, the Moor of Venice"
Fiction,https://www.gutenberg.org/ebooks/2500,Siddhartha
Fiction,https://www.gutenberg.org/ebooks/1254,Cyrano de Bergerac
Fiction,https://www.gutenberg.org/ebooks/1524,"Hamlet, Prince of Denmark"
Fiction,https://www.gutenberg.org/ebooks/805,This Side of Paradise
Fiction,https://www.gutenberg.org/ebooks/2527,The Sorrows of Young Werther
Fiction,https://www.gutenberg.org/ebooks/1837,The Prince and the Pauper
Fiction,https://www.gutenberg.org/ebooks/35018,雲形紋章 (Japanese)
Fiction,https://www.gutenberg.org/ebooks/4517,Ethan Frome
Fiction,https://www.gutenberg.org/ebooks/57333,Project Gutenberg Compilation of Short Stories by Chekhov
Fiction,https://www.gutenberg.org/ebooks/14838,The Tale of Peter Rabbit
Fiction,https://www.gutenberg.org/ebooks/8525,"Eve's Diary, Complete"
Fiction,https://www.gutenberg.org/ebooks/71865,Mrs. Dalloway
Fiction,https://www.gutenberg.org/ebooks/73,The Red Badge of Courage: An Episode of the American Civil War
Fiction,https://www.gutenberg.org/ebooks/13415,The Lady with the Dog and Other Stories
Fiction,https://www.gutenberg.org/ebooks/59112,R.U.R. (Rossum's Universal Robots)
Fiction,https://www.gutenberg.org/ebooks/902,"The Happy Prince, and Other Tales"
Fiction,https://www.gutenberg.org/ebooks/2638,The Idiot
Fiction,https://www.gutenberg.org/ebooks/2232,The Duchess of Malfi
Fiction,https://www.gutenberg.org/ebooks/140,The Jungle
Fiction,https://www.gutenberg.org/ebooks/5230,The Invisible Man: A Grotesque Romance
Fiction,https://www.gutenberg.org/ebooks/21279,2 B R 0 2 B
Fiction,https://www.gutenberg.org/ebooks/141,Mansfield Park
Fiction,https://www.gutenberg.org/ebooks/114,The Tenniel Illustrations for Carroll's Alice in Wonderland
Fiction,https://www.gutenberg.org/ebooks/910,White Fang
Fiction,https://www.gutenberg.org/ebooks/2610,Notre-Dame de Paris
Fiction,https://www.gutenberg.org/ebooks/1754,The Sea-Gull
Fiction,https://www.gutenberg.org/ebooks/47629,"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere) (Tagalog)"
Fiction,https://www.gutenberg.org/ebooks/1250,Anthem
Fiction,https://www.gutenberg.org/ebooks/70891,Notre-Dame de Paris - Tome 1 (French)
Fiction,https://www.gutenberg.org/ebooks/5921,"The History of Don Quixote, Volume 1, Complete"
Fiction,https://www.gutenberg.org/ebooks/6087,The Vampyre; a Tale
Fiction,https://www.gutenberg.org/ebooks/6737,The Social Cancer: A Complete English Version of Noli Me Tangere
Fiction,https://www.gutenberg.org/ebooks/61963,We
Fiction,https://www.gutenberg.org/ebooks/2781,Just so stories
Fiction,https://www.gutenberg.org/ebooks/2147,The Works of Edgar Allan Poe — Volume 1
Fiction,https://www.gutenberg.org/ebooks/86,A Connecticut Yankee in King Arthur's Court
Fiction,https://www.gutenberg.org/ebooks/375,An Occurrence at Owl Creek Bridge
Fiction,https://www.gutenberg.org/ebooks/2199,The Iliad
Fiction,https://www.gutenberg.org/ebooks/3011,The Lady of the Lake
Fiction,https://www.gutenberg.org/ebooks/16433,The Gay Cockade
Fiction,https://www.gutenberg.org/ebooks/11231,"Bartleby, the Scrivener: A Story of Wall-Street"
Fiction,https://www.gutenberg.org/ebooks/24022,A Christmas Carol
Fiction,https://www.gutenberg.org/ebooks/541,The Age of Innocence
Fiction,https://www.gutenberg.org/ebooks/271,Black Beauty
Fiction,https://www.gutenberg.org/ebooks/1522,Julius Caesar
Fiction,https://www.gutenberg.org/ebooks/18857,A Journey to the Centre of the Earth
Fiction,https://www.gutenberg.org/ebooks/863,The Mysterious Affair at Styles
Fiction,https://www.gutenberg.org/ebooks/1257,The three musketeers
Fiction,https://www.gutenberg.org/ebooks/599,Vanity Fair
Fiction,https://www.gutenberg.org/ebooks/61221,A passage to India
Fiction,https://www.gutenberg.org/ebooks/22367,Die Verwandlung (German)
Fiction,https://www.gutenberg.org/ebooks/159,The island of Doctor Moreau
Fiction,https://www.gutenberg.org/ebooks/175,The Phantom of the Opera
Fiction,https://www.gutenberg.org/ebooks/4078,The Picture of Dorian Gray
Fiction,https://www.gutenberg.org/ebooks/834,The Memoirs of Sherlock Holmes
Fiction,https://www.gutenberg.org/ebooks/9366,Mary Olivier: a Life
Fiction,https://www.gutenberg.org/ebooks/51,Anne of the Island
Fiction,https://www.gutenberg.org/ebooks/7849,The Trial
Fiction,https://www.gutenberg.org/ebooks/30142,Little Brother
Fiction,https://www.gutenberg.org/ebooks/146,A Little Princess
Fiction,https://www.gutenberg.org/ebooks/383,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy"
Fiction,https://www.gutenberg.org/ebooks/8117,"The possessed :  or, The devils"
Fiction,https://www.gutenberg.org/ebooks/4276,North and South
Fiction,https://www.gutenberg.org/ebooks/1200,Gargantua and Pantagruel
Fiction,https://www.gutenberg.org/ebooks/1429,"The Garden Party, and Other Stories"
Fiction,https://www.gutenberg.org/ebooks/19839,Emma
Fiction,https://www.gutenberg.org/ebooks/26272,The Spy
Fiction,https://www.gutenberg.org/ebooks/5225,The Satyricon — Complete
Fiction,https://www.gutenberg.org/ebooks/75998,Daredevil
Fiction,https://www.gutenberg.org/ebooks/54494,海公案 (Chinese)
Fiction,https://www.gutenberg.org/ebooks/42704,Salomé: A Tragedy in One Act
Fiction,https://www.gutenberg.org/ebooks/28794,"Moby Dick; Or, The Whale"
Fiction,https://www.gutenberg.org/ebooks/580,The Pickwick Papers
Fiction,https://www.gutenberg.org/ebooks/47,Anne of Avonlea
Fiction,https://www.gutenberg.org/ebooks/289,The Wind in the Willows
Fiction,https://www.gutenberg.org/ebooks/500,The Adventures of Pinocchio
Fiction,https://www.gutenberg.org/ebooks/7256,The Gift of the Magi
Fiction,https://www.gutenberg.org/ebooks/1515,The Merchant of Venice
Fiction,https://www.gutenberg.org/ebooks/8578,The Grand Inquisitor
Fiction,https://www.gutenberg.org/ebooks/108,The Return of Sherlock Holmes
Fiction,https://www.gutenberg.org/ebooks/28811,Barchester Towers
Fiction,https://www.gutenberg.org/ebooks/7178,Swann's Way
Fiction,https://www.gutenberg.org/ebooks/26264,The Return of the Native
Fiction,https://www.gutenberg.org/ebooks/1079,"The Life and Opinions of Tristram Shandy, Gentleman"
Fiction,https://www.gutenberg.org/ebooks/26297,Little Women
Fiction,https://www.gutenberg.org/ebooks/17157,Gulliver's Travels into Several Remote Regions of the World
Fiction,https://www.gutenberg.org/ebooks/6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar"
Fiction,https://www.gutenberg.org/ebooks/31516,The Eyes Have It
Fiction,https://www.gutenberg.org/ebooks/24571,Der Struwwelpeter (German)
Fiction,https://www.gutenberg.org/ebooks/25525,"The Works of Edgar Allan Poe, The Raven Edition"
Fiction,https://www.gutenberg.org/ebooks/39287,苦悶の欄 (Japanese)
Fiction,https://www.gutenberg.org/ebooks/22962,Mansfield Park
Fiction,https://www.gutenberg.org/ebooks/1526,"Twelfth Night; Or, What You Will"
Fiction,https://www.gutenberg.org/ebooks/20593,Anne of Green Gables
Fiction,https://www.gutenberg.org/ebooks/696,The Castle of Otranto
Fiction,https://www.gutenberg.org/ebooks/284,The House of Mirth
Fiction,https://www.gutenberg.org/ebooks/2992,The Middle-Class Gentleman
Fiction,https://www.gutenberg.org/ebooks/32,Herland
Fiction,https://www.gutenberg.org/ebooks/1056,Martin Eden
Fiction,https://www.gutenberg.org/ebooks/8954,Lady Audley's Secret
Fiction,https://www.gutenberg.org/ebooks/82,Ivanhoe: A Romance
Fiction,https://www.gutenberg.org/ebooks/19033,Alice's Adventures in Wonderland
Fiction,https://www.gutenberg.org/ebooks/10148,The Merry Adventures of Robin Hood
Fiction,https://www.gutenberg.org/ebooks/23712,Tarzan of the Apes
Fiction,https://www.gutenberg.org/ebooks/75999,A journey of joy
Fiction,https://www.gutenberg.org/ebooks/17989,"Le comte de Monte-Cristo, Tome I (French)"
Fiction,https://www.gutenberg.org/ebooks/67138,The Sun Also Rises
Fiction,https://www.gutenberg.org/ebooks/4081,The Alchemist
Fiction,https://www.gutenberg.org/ebooks/1874,The Railway Children
Fiction,https://www.gutenberg.org/ebooks/512,Mosses from an old manse
Fiction,https://www.gutenberg.org/ebooks/13951,Les trois mousquetaires (French)
Fiction,https://www.gutenberg.org/ebooks/2833,The Portrait of a Lady — Volume 1
Fiction,https://www.gutenberg.org/ebooks/2559,"The Forsyte Saga, Volume I."
Fiction,https://www.gutenberg.org/ebooks/22981,Letters of Two Brides
Fiction,https://www.gutenberg.org/ebooks/8121,Ghosts
Fiction,https://www.gutenberg.org/ebooks/1450,Pollyanna
Fiction,https://www.gutenberg.org/ebooks/131,The Pilgrim's Progress from this world to that which is to come
Fiction,https://www.gutenberg.org/ebooks/2911,Justice
Fiction,https://www.gutenberg.org/ebooks/35451,Medea of Euripides
Fiction,https://www.gutenberg.org/ebooks/932,The Fall of the House of Usher
Fiction,https://www.gutenberg.org/ebooks/27805,The Wind in the Willows
Fiction,https://www.gutenberg.org/ebooks/2518,"The Hungry Stones, and Other Stories"
Fiction,https://www.gutenberg.org/ebooks/421,Kidnapped
Fiction,https://www.gutenberg.org/ebooks/33525,Stories from Tagore
Fiction,https://www.gutenberg.org/ebooks/155,The Moonstone
Fiction,https://www.gutenberg.org/ebooks/20000,Twenty Thousand Leagues Under the Sea
Fiction,https://www.gutenberg.org/ebooks/3618,Arms and the Man
Fiction,https://www.gutenberg.org/ebooks/13437,Best Russian Short Stories
Fiction,https://www.gutenberg.org/ebooks/75997,The room
Fiction,https://www.gutenberg.org/ebooks/28737,At the Back of the North Wind
Fiction,https://www.gutenberg.org/ebooks/32633,Time Enough at Last
Fiction,https://www.gutenberg.org/ebooks/75201,A farewell to arms
Fiction,https://www.gutenberg.org/ebooks/20973,Le tour du monde en quatre-vingts jours (French)
Fiction,https://www.gutenberg.org/ebooks/583,The Woman in White
Fiction,https://www.gutenberg.org/ebooks/9830,The Beautiful and Damned
Fiction,https://www.gutenberg.org/ebooks/23962,西遊記 (Chinese)
Fiction,https://www.gutenberg.org/ebooks/23078,Murder at Bridge
Fiction,https://www.gutenberg.org/ebooks/376,A Journal of the Plague Year
Fiction,https://www.gutenberg.org/ebooks/48320,Adventures of Sherlock Holmes
Fiction,https://www.gutenberg.org/ebooks/26274,The Swiss Family Robinson
Fiction,https://www.gutenberg.org/ebooks/20687,Pride and Prejudice
Fiction,https://www.gutenberg.org/ebooks/1519,Much Ado about Nothing
Fiction,https://www.gutenberg.org/ebooks/550,Silas Marner
Fiction,https://www.gutenberg.org/ebooks/26654,Peter and Wendy
Fiction,https://www.gutenberg.org/ebooks/23969,Typee
Fiction,https://www.gutenberg.org/ebooks/2446,An Enemy of the People
Fiction,https://www.gutenberg.org/ebooks/6688,The Mill on the Floss
Fiction,https://www.gutenberg.org/ebooks/66057,The tale of Genji
Fiction,https://www.gutenberg.org/ebooks/19640,Adventures of Huckleberry Finn
Fiction,https://www.gutenberg.org/ebooks/1695,The Man Who Was Thursday: A Nightmare
Fiction,https://www.gutenberg.org/ebooks/40409,Os Maias: episodios da vida romantica (Portuguese)
Fiction,https://www.gutenberg.org/ebooks/70954,Trois femmes (French)
Fiction,https://www.gutenberg.org/ebooks/60,The Scarlet Pimpernel
Fiction,https://www.gutenberg.org/ebooks/42,The Strange Case of Dr. Jekyll and Mr. Hyde
Fiction,https://www.gutenberg.org/ebooks/1292,The Way of the World
Fiction,https://www.gutenberg.org/ebooks/4039,"Volpone; Or, The Fox"
Fiction,https://www.gutenberg.org/ebooks/45524,The Open Boat and Other Stories
Fiction,https://www.gutenberg.org/ebooks/75949,Terror keep
Fiction,https://www.gutenberg.org/ebooks/21601,The Vicar of Wakefield
Fiction,https://www.gutenberg.org/ebooks/3186,"The Mysterious Stranger, and Other Stories"
Fiction,https://www.gutenberg.org/ebooks/233,Sister Carrie: A Novel
Fiction,https://www.gutenberg.org/ebooks/40426,Daddy-Long-Legs
Fiction,https://www.gutenberg.org/ebooks/58866,The Murder on the Links
Fiction,https://www.gutenberg.org/ebooks/6415,This Freedom
Fiction,https://www.gutenberg.org/ebooks/22964,Sense and Sensibility
Fiction,https://www.gutenberg.org/ebooks/76059,The thing in the woods
Fiction,https://www.gutenberg.org/ebooks/75930,"Her evil genius :  or, Within love's call"
Fiction,https://www.gutenberg.org/ebooks/42671,Pride and Prejudice
Fiction,https://www.gutenberg.org/ebooks/76039,The red feathers :  A story of remarkable adventures when the world was young
Fiction,https://www.gutenberg.org/ebooks/43936,The Wonderful Wizard of Oz
Fiction,https://www.gutenberg.org/ebooks/61262,Poirot Investigates
Fiction,https://www.gutenberg.org/ebooks/143,The Mayor of Casterbridge
Fiction,https://www.gutenberg.org/ebooks/61851,El crimen y el castigo (Spanish)
Fiction,https://www.gutenberg.org/ebooks/47935,Fathers and Sons
Fiction,https://www.gutenberg.org/ebooks/6157,"What Men Live By, and Other Tales"
Fiction,https://www.gutenberg.org/ebooks/65662,Der Zauberberg. Zweiter Band (German)
Fiction,https://www.gutenberg.org/ebooks/75011,All quiet on the Western Front
Fiction,https://www.gutenberg.org/ebooks/3289,The Valley of Fear
Fiction,https://www.gutenberg.org/ebooks/790,Lady Windermere's Fan
Fiction,https://www.gutenberg.org/ebooks/20058,The Napoleon of Notting Hill
Fiction,https://www.gutenberg.org/ebooks/19797,Dracula
Fiction,https://www.gutenberg.org/ebooks/544,Anne's House of Dreams
Fiction,https://www.gutenberg.org/ebooks/22452,Howards End
Fiction,https://www.gutenberg.org/ebooks/1268,The Mysterious Island
Fiction,https://www.gutenberg.org/ebooks/1929,The School for Scandal
Fiction,https://www.gutenberg.org/ebooks/19516,The Adventures of Pinocchio
Fiction,https://www.gutenberg.org/ebooks/2868,The Green Mummy
Fiction,https://www.gutenberg.org/ebooks/102,The Tragedy of Pudd'nhead Wilson
Fiction,https://www.gutenberg.org/ebooks/57426,Baron Trump's Marvellous Underground Journey
Fiction,https://www.gutenberg.org/ebooks/23936,Treasure Island
Crime_Mystery,https://www.gutenberg.org/ebooks/14977,The Red Record
